Year,Crop production [GtC],Crop production [PCal],Food [GtC],Food [PCal],Feed [GtC],Feed [PCal],Losses [GtC],Losses [PCal],Seed [GtC],Seed [PCal],Other uses (non-food) [GtC],Other uses (non-food) [PCal],gtc_per_pcal
1980,1.7641547999999998,7905.945304977634,0.72156915,3233.6653414197,0.35228295000000004,1578.7331897269848,0.0838503,375.76968053255086,0.06073605,272.1846684544842,0.048117599999999996,215.63590327038864,2.231428035416937e-4
1981,1.8622619999999999,8370.818034303238,0.73715265,3313.48150617605,0.35481105,1594.8662090028515,0.0824319,370.52919252064487,0.0617679,277.64506350934454,0.0541422,243.36774534241306,2.2247073014471626e-4
1982,1.9675845,8850.505780461106,0.7610890499999999,3423.4987297728003,0.36501795000000004,1641.9083787492038,0.08601705,386.9182737733561,0.062163899999999994,279.62303844434945,0.06727635,302.61964584663303,2.223132269280875e-4
1983,1.9218937500000002,8713.724935812608,0.78304905,3550.2868110942,0.35973720000000003,1631.022011481856,0.08663355,392.7901450915111,0.0627939,284.70292504303285,0.07948755,360.3907065734781,2.2055937778127396e-4
1984,2.0516247,9220.242198681059,0.80533215,3619.2572030277,0.3817584,1715.6670561535757,0.09155115,411.44161335539553,0.06218505,279.4669132893026,0.0875745,393.57008152046245,2.2251310277874065e-4
1985,2.0695905,9323.77232969636,0.8156164499999999,3674.457380895,0.38490615,1734.0518865446843,0.09322695,419.99944278444747,0.0618102,278.4629289963391,0.10234845000000001,461.09297761915286,2.2196922305881732e-4
1986,2.0958174,9387.840706943072,0.8377591499999999,3752.5928790285,0.39338504999999996,1762.0982562187123,0.0955071,427.80704138732824,0.0608022,272.3526239603193,0.1027719,460.348418879375,2.2324807859702738e-4
1987,2.11790745,9486.055452666249,0.85896225,3847.2708216060005,0.40112415,1796.6252162263343,0.1100898,493.08951039052096,0.06143535,275.16742379557684,0.1102707,493.8997570476104,2.232653457032785e-4
1988,2.091168,9413.163829986157,0.87566535,3941.7117131632504,0.38402415,1728.6426717610343,0.10429245,469.46104668808994,0.0624816,281.25408248388607,0.1072827,482.92132971777295,2.221535753301635e-4
1989,2.20207545,9927.37752902738,0.8945126999999999,4032.6344301279996,0.39331799999999995,1773.1528113453107,0.10337985,466.0561470971492,0.0626634,282.49859878890805,0.11725334999999999,528.6005400011078,2.2181844536094168e-4
1990,2.26244565,10155.311978647629,0.9072774,4072.4448112935997,0.40124384999999996,1801.0406023515711,0.11427345,512.9327794576594,0.06078285,272.8325450387469,0.12302595,552.2196317597748,2.2278445553981763e-4
1991,2.2456107,10078.166311110575,0.9157653,4109.89981270755,0.39067065,1753.3064763049408,0.1044036,468.5571030983528,0.0612351,274.81946086090846,0.12303899999999998,552.1916620511,2.2281937315564521e-4
1992,2.3271363000000003,10276.2221194819,0.94922505,4191.6098576505,0.3985362,1759.865339152787,0.11421315,504.34506065059617,0.0651168,287.5442665347444,0.11990115,529.4622621723175,2.2645834947340827e-4
1993,2.2908271499999997,10016.83398638664,0.9741775500000001,4259.67310175055,0.401301,1754.7223043741844,0.1093311,478.05941109482507,0.06401295,279.9019965905628,0.11236185,491.31161984581763,2.286977255601265e-4
1994,2.34060705,10207.426927493796,0.99791775,4351.9361837238,0.4019724,1753.008434230473,0.11681685,509.44025836160904,0.06363315,277.5052432621066,0.12142619999999998,529.5417116611893,2.2930431602655456e-4
1995,2.39485635,10323.926593760887,1.0303956,4441.9067293678,0.39367215,1697.0714667742077,0.12072555,520.4327667467027,0.06533685,281.6589994082802,0.1286712,554.6854714401246,2.319714624324524e-4
1996,2.53638855,10871.839984819551,1.0576953,4533.6484641896495,0.41331599999999996,1771.6155575476312,0.11041245,473.26600994626375,0.06636915,284.4811686003261,0.14635755,627.339160701631,2.3329892212740273e-4
1997,2.57494185,10943.383323901791,1.0857752999999999,4614.49461917925,0.4069755,1729.6269816487672,0.11176694999999999,475.004348852913,0.06565815,279.0440893988508,0.14696145,624.5793399903096,2.3529668785118656e-4
1998,2.6074489499999998,10975.979148148854,1.1143368,4690.7677639537,0.4062726,1710.192479919586,0.11599425,488.27436077134524,0.064359,270.9173048222908,0.1439559,605.978098498535,2.3755957576138045e-4
1999,2.6603284499999997,10959.893393216276,1.15553745,4760.5276949427,0.4117401,1696.2670912729627,0.1191933,491.04683340346406,0.06461009999999999,266.1775872543268,0.14407785,593.5650074801125,2.4273305903200058e-4
2000,2.68735545,10917.820116999972,1.1911603499999999,4839.28333031,0.42979815,1746.1251314259048,0.14596425,593.0035883466079,0.06430635,261.255042268726,0.13124655,533.2105300312404,2.4614395742017763e-4
2001,2.7206253,11029.649939544932,1.20608505,4889.572959135,0.44028225,1784.942267535043,0.13322835,540.1192374867538,0.06332175000000001,256.71184343517626,0.13922505,564.4303772061666,2.466647005945004e-4
2002,2.76450705,11112.126806122162,1.22947605,4941.96380244,0.43662239999999997,1755.0338586379773,0.12444615,500.21988525357506,0.0632061,254.06127943151307,0.1528047,614.2090333867858,2.4878289262114173e-4
2003,2.8337993999999997,11329.387158718513,1.2503754,4998.9378219,0.43942905,1756.8151917308883,0.12614715,504.3299470382196,0.06446204999999999,257.7160265806644,0.1715688,685.92341418265,2.5012821614267577e-4
2004,2.95608285,11760.413508888227,1.2749679,5072.30361103,0.4683051,1863.0944746089413,0.12976965,516.2726561955789,0.0637407,253.58456693661066,0.1827198,726.9283417619215,2.513587509287719e-4
2005,2.96036145,11735.714407477106,1.2987800999999999,5148.73355472,0.45993914999999996,1823.3295495784048,0.1306647,517.9920182850218,0.06222915,246.6940421143688,0.1941876,769.8148532076721,2.5225234248320516e-4
2006,3.01965345,11932.240490783213,1.3237299,5230.753718325,0.45371115,1792.8516118794414,0.13563765,535.9757621871086,0.06300449999999999,248.9639484959941,0.21971564999999998,868.2122034198171,2.53066760792532e-4
2007,3.1880384999999998,12539.656954935735,1.3527369,5320.781626784999,0.4633884,1822.6666876502725,0.1443771,567.8850196283553,0.06491745,255.34276119601222,0.26114624999999997,1027.178432778615,2.542365003649606e-4
2008,3.3445467,13072.681313722078,1.38645945,5419.192545360001,0.48718079999999997,1904.2219803850166,0.16504875,645.1187271441557,0.0653328,255.36341703141466,0.30506669999999997,1192.4006767580368,2.5584244117458216e-4
2009,3.3266911500000003,12962.812225000709,1.40568345,5477.397747049999,0.46826324999999996,1824.6384494149877,0.168012,654.6769475569798,0.0639342,249.12653203638703,0.31886414999999996,1242.488681804579,2.5663344436818904e-4
2010,3.65441445,NA,1.5893424,NA,0.50350005,NA,0.20990789999999998,NA,0.06518879999999999,NA,0.33525045,NA,NA
2011,3.86184645,NA,1.62798435,NA,0.5272375499999999,NA,0.2179152,NA,0.06808455,NA,0.31511295,NA,NA
2012,3.89465775,NA,1.6621650000000001,NA,0.5299992,NA,0.2242098,NA,0.06886125,NA,0.3207501,NA,NA
2013,4.0763277,NA,1.6922902499999999,NA,0.5472162,NA,0.23285925,NA,0.0693621,NA,0.36092295,NA,NA
2014,4.14303345,NA,1.72592055,NA,0.56424735,NA,0.24567524999999998,NA,0.0711918,NA,0.34004924999999997,NA,NA
2015,4.1609817,NA,1.74784545,NA,0.59264145,NA,0.24895575,NA,0.07193474999999999,NA,0.366291,NA,NA
2016,4.2332247,NA,1.77113295,NA,0.6022674,NA,0.252477,NA,0.07151805,NA,0.37700775,NA,NA
2017,4.3364835,NA,1.80463095,NA,0.6184836,NA,0.26252955,NA,0.0734103,NA,0.3753837,NA,NA
2018,4.36283685,NA,1.8303489,NA,0.61104915,NA,0.25715024999999997,NA,0.07246935,NA,0.39379005,NA,NA
2019,4.4112105,NA,1.85971275,NA,0.64115145,NA,0.2846088,NA,0.0729549,NA,0.4163409,NA,NA
2020,4.3993791,NA,1.89334755,NA,0.6506126999999999,NA,0.26945325,NA,0.0753993,NA,0.3829779,NA,NA
2021,4.49170425,NA,1.9189930499999999,NA,0.6727293,NA,0.27411255,NA,0.0816822,NA,0.38906235,NA,NA
2022,4.5233837999999995,NA,1.9600960500000002,NA,0.67916295,NA,0.2819898,NA,0.0835974,NA,0.3808863,NA,NA
