"Year","Unit","Land area","Agricultural land","Cropland","Grassland","Forest land","Habitable land"
1980,"Mha",13040.8312229,4636.510437,1422.043288,3214.4671491,4378.0224538,9014.5328908
1981,"Mha",13040.8382229,4642.7128473,1426.6101711,3216.1026761,4371.8200435,9014.5328908
1982,"Mha",13040.8182229,4658.9453384,1437.2986518,3221.6466866,4355.5875524,9014.5328908
1983,"Mha",13040.8102229,4667.5013632,1443.560503,3223.9408603,4347.0315276,9014.5328908
1984,"Mha",13040.6572309,4694.978759,1460.2719127,3234.7068464,4319.5541318,9014.5328908
1985,"Mha",13040.6452389,4724.0838588,1474.4573885,3249.6264702,4290.449032,9014.5328908
1986,"Mha",13040.6542469,4723.8092389,1477.9670297,3245.8422093,4290.7236519,9014.5328908
1987,"Mha",13040.6432549,4739.3493028,1481.2817561,3258.0675467,4275.183588,9014.5328908
1988,"Mha",13040.6412629,4757.0392399,1481.0446961,3275.9945438,4257.4936509,9014.5328908
1989,"Mha",13040.5422709,4768.5418418,1481.4141955,3287.1276463,4245.991049,9014.5328908
1990,"Mha",13040.5412789,4778.0994684,1483.8690245,3294.2304439,4236.4334224,9014.5328908
1991,"Mha",13040.5512869,4781.4628799,1486.4696976,3294.9936629,4228.5950324,9010.0579123
1992,"Mha",12996.2544949,4820.4385361,1483.367617,3336.6524415,4220.7566424,9041.1951785
1993,"Mha",12995.8799029,4804.3328331,1484.599546,3319.2777392,4212.9182523,9017.2510854
1994,"Mha",12994.6752109,4826.4895727,1483.5207876,3342.4761669,4205.0798623,9031.569435
1995,"Mha",12994.3792189,4825.90252,1484.8430375,3340.5797941,4197.2414723,9023.1439923
1996,"Mha",12994.3336973,4833.6284023,1485.2221563,3347.9894874,4189.4030823,9023.0314846
1997,"Mha",13001.2676756,4852.7712799,1489.8671704,3362.5502805,4181.5646923,9034.3359722
1998,"Mha",12998.6644538,4866.0763,1490.3767122,3375.4086886,4173.7263023,9039.8026023
1999,"Mha",12999.3432319,4867.7022105,1493.8000894,3373.5841516,4165.8879122,9033.5901227
2000,"Mha",13005.250756,4872.1218275,1492.0063405,3379.7504473,4158.0495222,9030.1713497
2001,"Mha",13005.1327539,4872.6554516,1493.3890167,3378.8007139,4152.8762644,9025.531716
2002,"Mha",13004.9140544,4864.117653,1491.9463535,3371.7710906,4147.7030066,9011.8206596
2003,"Mha",13005.6276912,4845.1995502,1499.2264618,3345.6836934,4142.5297488,8987.729299
2004,"Mha",13020.2828375,4803.4946906,1506.592185,3296.64594,4137.3564909,8940.8511815
2005,"Mha",13020.5570724,4810.8914655,1514.7564702,3296.0702926,4132.1832331,8943.0746986
2006,"Mha",13020.3358806,4810.4247634,1516.7683442,3293.6205035,4127.0099753,8937.4347387
2007,"Mha",13020.3141156,4802.2721075,1509.7794712,3292.2815538,4121.8367175,8924.108825
2008,"Mha",13018.728074,4788.6608504,1512.2207592,3276.2791423,4116.6634597,8905.3243101
2009,"Mha",13018.5721687,4784.7917865,1521.3042704,3263.2747506,4111.4902019,8896.2819884
2010,"Mha",13018.8098883,4785.5374534,1525.6482908,3259.7191439,4106.316944,8891.8543974
2011,"Mha",13018.8580799,4806.636437,1537.8534448,3268.576881,4101.8270504,8908.4634874
2012,"Mha",13031.2614032,4806.3644142,1540.7626517,3265.4369494,4097.3371568,8903.701571
2013,"Mha",13031.0851886,4795.8660388,1545.4006479,3250.3650143,4092.8472632,8888.713302
2014,"Mha",13031.0232372,4795.4396604,1549.0413322,3246.3158617,4088.3573696,8883.79703
2015,"Mha",13031.3885282,4774.6577983,1555.880449,3218.530135,4083.8674759,8858.5252742
2016,"Mha",13032.3682996,4769.111244,1557.5232268,3211.4316568,4080.6035422,8849.7147862
2017,"Mha",13031.639709,4800.7146241,1563.688299,3236.8719589,4073.7571845,8874.4718086
2018,"Mha",13031.72636,4784.9151377,1567.1492708,3217.4609182,4068.9232742,8853.8384119
2019,"Mha",13031.7079439,4789.4151629,1566.1427637,3223.1332485,4063.83452,8853.2496829
2020,"Mha",13031.3151154,4781.2102071,1569.8592297,3211.2129511,4058.92148,8840.1316871
2021,"Mha",13015.1494977,4787.2651457,1573.6050427,3213.3693806,4053.8964871,8841.1616328
2022,"Mha",13015.1617854,4781.2207513,1573.3450526,3207.68978,4048.9461339,8830.1668852
